@relation 'mmg-weka.filters.unsupervised.instance.ReservoirSample-S1-Z500-weka.filters.unsupervised.attribute.Remove-V-R5,9,38,81,83,97,99-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L195-weka.filters.unsupervised.instance.RemoveFrequentValues-Clast-N20-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.NominalToString-Cfirst-last-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last'

@attribute timeContext_timeZone {Europe/Vienna,Europe/Amsterdam,Europe/Zurich,Europe/Sarajevo,Europe/London,Europe/Budapest,Africa/Ceuta}
@attribute locationContext_provider {network,gps}
@attribute phoneContext_state numeric
@attribute accelerationContext_accelerationStandardDeviation numeric
@attribute orientationContext_orientationDevice numeric
@attribute activityContext_activity {unspecified,eating,working,traveling,relaxing,sports,shopping,romancing}
@attribute musicContext_Artist {'The Heavy','Fiona Apple','Die Fantastischen Vier',P!nk,'Red Hot Chili Peppers','Ani DiFranco','Daft Punk','Pearl Jam','Kanye West',STS,'Letzte Instanz','Sportfreunde Stiller','Bob Dylan',Casper,'Caravan Palace','Lamb of God',Wizkid,'Asian Dub Foundation','Mumford & Sons','King Crimson'}

@data

Europe/Vienna,network,0,0.07,0,unspecified,'The Heavy'
Europe/Vienna,network,0,0.03,0,unspecified,'Fiona Apple'
Europe/Vienna,network,0,0.14,1,unspecified,'The Heavy'
Europe/Vienna,network,0,?,3,eating,'Die Fantastischen Vier'
Europe/Vienna,network,0,0,0,working,P!nk
Europe/Vienna,network,0,2.81,4,unspecified,'Red Hot Chili Peppers'
Europe/Vienna,gps,0,2.1,1,unspecified,'Ani DiFranco'
Europe/Vienna,network,0,0.4,0,traveling,'Daft Punk'
Europe/Vienna,network,0,0.04,1,working,'Ani DiFranco'
Europe/Vienna,network,0,0,1,traveling,'Pearl Jam'
Europe/Vienna,network,2,0,4,unspecified,'Kanye West'
Europe/Amsterdam,network,1,0.15,3,relaxing,STS
Europe/Vienna,network,0,0,1,unspecified,'Letzte Instanz'
Europe/Zurich,network,0,0,1,unspecified,'Red Hot Chili Peppers'
Europe/Vienna,gps,0,0.04,0,unspecified,'Die Fantastischen Vier'
Europe/Vienna,network,0,0.04,1,unspecified,'Fiona Apple'
Europe/Sarajevo,network,0,0.28,4,unspecified,'Sportfreunde Stiller'
Europe/Vienna,gps,0,1.41,3,unspecified,'Die Fantastischen Vier'
