@relation 'mmg-weka.filters.unsupervised.instance.ReservoirSample-S1-Z500-weka.filters.unsupervised.attribute.Remove-V-R7,8,31,35,46,62,68,69,78,88,89,99-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L195-weka.filters.unsupervised.instance.RemoveFrequentValues-Clast-N20-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.NominalToString-Cfirst-last-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last'

@attribute timeContext_hourOfDay numeric
@attribute timeContext_utc numeric
@attribute audioContext_volumeNotif numeric
@attribute audioContext_vibrateNotif numeric
@attribute taskContext_runningTask4 {com.android.chrome/com.google.android.apps.chrome.Main,com.nianticproject.ingress/.NemesisActivity,com.android.phone/.InCallScreen,com.hughes.android.dictionary/.DictionaryActivity,com.dynamicg.timerecording/.Main,com.android.contacts/.activities.DialtactsActivity,com.android.settings/.Settings,ch.teamtasks.tasks.paid/ch.teamtasks.tasks.MainActivity,com.estrongs.android.pop/.view.FileExplorerActivity,org.mobilemusicgenius.android/.ui.MusicBrowserActivity,com.facebook.katana/.activity.FbFragmentChromeActivity,nao.parkscheinpro_plus/nao.parkscheinpro_lib.activity.BaseActivity,com.samsung.swift.app.kiesair/com.samsung.swift.applet.AppletActivity,com.android.browser/.BrowserActivity,com.facebook.katana/.RequestsActivity,me.pou.app/.App,com.instagram.android/.activity.MainTabActivity,com.android.systemui/.recent.RecentsActivity,hu.koin/.ui.MainTabActivity,cc.dict.dictcc/.DictCcActivity,com.htc.android.worldclock/.WorldClockTabControl,com.fsck.k9/.activity.MessageList,org.mobilemusicgenius.android/.ui.MusicPlayerActivity,com.android.email/.activity.EmailActivity,com.facebook.katana/.LoginActivity,com.android.mms/.ui.ConversationComposer,com.facebook.orca/.threadlist.ThreadListActivity,com.android.contacts/.activities.PeopleActivity,com.teamlava.petshop26/com.storm8.app.activity.GameActivity,com.android.mms/.ui.ConversationList,com.swipeentertainment.wingsuit/com.unity3d.player.UnityPlayerNativeActivity,com.gombosdev.ingressportalcalc/.Activity_Start,com.android.email/.activity.MessageListXL,com.android.gallery3d/com.android.camera.CameraLauncher,com.whatsapp/.Conversation,com.teamlava.petshop/com.storm8.app.activity.GameActivity,com.fsck.k9/.activity.FolderList,com.google.android.apps.genie.geniewidget/.activities.NewsActivity,com.google.android.apps.maps/com.google.android.maps.MapsActivity,com.google.android.youtube/.app.honeycomb.phone.HomeActivity,com.android.deskclock/.AlarmClock,com.franco.kernel/.Main,com.android.htcdialer/.DialerActivity,com.google.android.talk/.SigningInActivity}
@attribute networkContext_activeNetworkRoaming numeric
@attribute networkContext_bluetoothAvailable numeric
@attribute networkContext_bluetoothEnabled numeric
@attribute noiseContext_noise numeric
@attribute playerContext_apmMode numeric
@attribute soundEffectContext_equalizerEnabled numeric
@attribute musicContext_Artist {'The Heavy','Fiona Apple','Die Fantastischen Vier',P!nk,'Red Hot Chili Peppers','Ani DiFranco','Daft Punk','Pearl Jam','Kanye West',STS,'Letzte Instanz','Sportfreunde Stiller','Bob Dylan',Casper,'Caravan Palace','Lamb of God',Wizkid,'Asian Dub Foundation','Mumford & Sons','King Crimson'}

@data

17,390703570,100,2,com.android.chrome/com.google.android.apps.chrome.Main,0,1,1,78,0,0,'The Heavy'
15,1702921426,0,2,com.nianticproject.ingress/.NemesisActivity,0,1,0,36,0,0,'Fiona Apple'
17,-1721357822,0,2,com.android.phone/.InCallScreen,0,1,1,76,0,0,'The Heavy'
17,0,100,2,com.hughes.android.dictionary/.DictionaryActivity,0,?,0,75,0,0,'Die Fantastischen Vier'
11,848542399,29,2,com.dynamicg.timerecording/.Main,0,1,0,54,0,1,P!nk
18,0,100,2,com.hughes.android.dictionary/.DictionaryActivity,0,?,0,76,0,0,'Die Fantastischen Vier'
21,-325516958,0,2,com.android.contacts/.activities.DialtactsActivity,0,1,0,65,0,0,'Red Hot Chili Peppers'
21,-757131928,0,2,com.android.settings/.Settings,0,1,0,67,0,0,'Ani DiFranco'
22,-927379172,57,1,ch.teamtasks.tasks.paid/ch.teamtasks.tasks.MainActivity,0,1,0,68,0,0,'Daft Punk'
12,-294978090,0,2,com.estrongs.android.pop/.view.FileExplorerActivity,0,1,0,49,0,0,'Ani DiFranco'
12,-209573830,0,2,org.mobilemusicgenius.android/.ui.MusicBrowserActivity,0,1,0,39,0,0,'Pearl Jam'
6,200423049,0,2,?,0,1,0,90,0,1,'Kanye West'
8,-1666494230,0,0,com.facebook.katana/.activity.FbFragmentChromeActivity,0,1,0,60,0,0,STS
17,-859520385,57,2,nao.parkscheinpro_plus/nao.parkscheinpro_lib.activity.BaseActivity,0,1,0,63,1,1,'Letzte Instanz'
13,-2083491843,43,2,com.samsung.swift.app.kiesair/com.samsung.swift.applet.AppletActivity,0,1,0,60,0,0,'Red Hot Chili Peppers'
8,2021080530,71,2,com.android.browser/.BrowserActivity,0,1,0,41,0,0,'Die Fantastischen Vier'
15,1702024009,0,2,com.facebook.katana/.RequestsActivity,0,1,0,38,0,0,'Fiona Apple'
12,-702092267,71,0,me.pou.app/.App,0,1,0,72,0,0,'Sportfreunde Stiller'
16,-861071245,57,2,nao.parkscheinpro_plus/nao.parkscheinpro_lib.activity.BaseActivity,0,1,0,65,1,1,'Letzte Instanz'
7,2019702866,71,2,com.android.browser/.BrowserActivity,0,1,0,60,0,0,'Die Fantastischen Vier'
22,-172225299,71,2,com.facebook.katana/.activity.FbFragmentChromeActivity,0,1,0,31,0,0,'Bob Dylan'
19,620701573,0,2,com.instagram.android/.activity.MainTabActivity,0,1,0,78,0,0,'Bob Dylan'
16,-110784242,0,2,com.android.systemui/.recent.RecentsActivity,0,1,0,70,0,0,Casper
12,335249946,14,2,com.android.settings/.Settings,0,1,0,80,0,0,'Caravan Palace'
18,503940327,71,1,hu.koin/.ui.MainTabActivity,0,1,0,75,1,0,'Caravan Palace'
14,-1213892181,14,1,hu.koin/.ui.MainTabActivity,0,1,0,68,0,0,'Lamb of God'
17,1016990680,0,2,cc.dict.dictcc/.DictCcActivity,0,1,0,87,0,1,Wizkid
20,-1971759994,14,1,com.htc.android.worldclock/.WorldClockTabControl,0,1,0,66,0,0,'Caravan Palace'
10,1944693216,71,0,com.estrongs.android.pop/.view.FileExplorerActivity,0,1,0,68,0,0,'Asian Dub Foundation'
10,1449331392,0,2,com.android.browser/.BrowserActivity,0,1,0,53,0,0,'Ani DiFranco'
18,1565319022,14,2,com.fsck.k9/.activity.MessageList,0,1,0,66,0,1,'Asian Dub Foundation'
15,2134198857,0,1,org.mobilemusicgenius.android/.ui.MusicPlayerActivity,0,1,0,73,0,0,STS
11,-708126043,0,0,com.android.email/.activity.EmailActivity,0,1,1,78,0,0,'Sportfreunde Stiller'
13,-1303196516,14,1,hu.koin/.ui.MainTabActivity,0,1,0,76,0,0,'Caravan Palace'
16,1877155550,0,2,?,0,1,0,64,0,1,'Kanye West'
