@relation 'mmg-weka.filters.unsupervised.instance.ReservoirSample-S1-Z500-weka.filters.unsupervised.attribute.Remove-V-R2,4,18,19,31,56,65,72,73,81,99-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L195-weka.filters.unsupervised.instance.RemoveFrequentValues-Clast-N20-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.NominalToString-Cfirst-last'

@attribute userId numeric
@attribute context_datetime date 'yyyy-MM-dd HH:mm:ss'
@attribute weatherContext_humidity numeric
@attribute weatherContext_visibility numeric
@attribute audioContext_volumeNotif numeric
@attribute networkContext_mobileConnected numeric
@attribute networkContext_wifiIpAddress numeric
@attribute proximityContext_proximity numeric
@attribute proximityContext_proximityStandardDeviation numeric
@attribute accelerationContext_accelerationStandardDeviation numeric
@attribute musicContext_Artist string

@data

3,'2013-02-26 17:45:17',93,1,100,1,?,5,5,0.07,'The Heavy'
33,'2013-05-03 08:53:13',77,6,0,1,?,8,8,0.03,'Fiona Apple'
3,'2013-05-16 18:28:40',87,10,0,1,?,5,5,0.14,'The Heavy'
3,'2013-01-12 19:44:29',59,10,100,1,0,5,?,?,'Die Fantastischen Vier'
54,'2013-06-11 15:06:05',77,10,29,1,?,5,5,0,P!nk
66,'2013-06-16 20:02:53',44,10,0,1,?,5,5,2.81,'Red Hot Chili Peppers'
33,'2013-05-23 21:31:07',58,10,0,1,?,4,4,2.1,'Ani DiFranco'
39,'2013-05-22 22:58:09',71,10,57,1,?,1,1,0.4,'Daft Punk'
33,'2013-04-09 15:27:41',81,10,0,0,-1912517110,8,8,0.04,'Ani DiFranco'
33,'2013-04-10 17:54:25',100,10,0,0,-1912517110,8,8,0,'Pearl Jam'
15,'2013-04-23 12:17:00',76,10,0,0,1728161984,?,?,0,'Kanye West'
17,'2013-05-19 12:01:01',81,10,0,0,184549386,?,?,0.15,STS
5,'2013-06-18 08:39:44',59,10,57,1,?,5,5,0,'Letzte Instanz'
51,'2013-05-11 08:30:33',64,10,43,0,?,8,8,0,'Red Hot Chili Peppers'
33,'2013-05-09 21:50:23',88,10,71,1,?,8,8,0.04,'Die Fantastischen Vier'
33,'2013-05-03 08:53:13',77,6,0,1,?,8,8,0.04,'Fiona Apple'
17,'2013-05-24 15:36:14',?,?,71,0,?,9,9,0.28,'Sportfreunde Stiller'
5,'2013-06-18 08:39:44',59,10,57,1,?,0,0,0,'Letzte Instanz'
33,'2013-05-09 21:50:23',88,10,71,1,?,5,5,1.41,'Die Fantastischen Vier'
33,'2013-04-11 00:00:16',62,10,71,0,1677830336,4,4,0.03,'Bob Dylan'
60,'2013-06-10 19:22:50',72,10,0,1,?,4,4,0.24,'Bob Dylan'
11,'2013-04-12 16:02:02',77,10,0,1,?,3,3,0.32,Casper
16,'2013-06-07 11:39:46',?,?,14,0,?,0,0,1.48,'Caravan Palace'
16,'2013-04-18 18:57:29',?,?,71,0,?,4,4,1.72,'Caravan Palace'
16,'2013-05-22 18:41:29',?,?,14,0,?,0,0,0.23,'Lamb of God'
15,'2013-04-26 17:55:42',43,10,0,1,?,?,?,0.06,Wizkid
16,'2013-05-09 21:22:13',?,?,14,0,?,0,0,2.57,'Caravan Palace'
54,'2013-05-05 16:34:14',82,10,71,0,184723648,?,?,0,'Asian Dub Foundation'
33,'2013-06-22 20:21:55',74,10,0,1,?,8,8,0.81,'Ani DiFranco'
54,'2013-06-24 13:46:17',47,10,14,0,?,5,5,0.03,'Asian Dub Foundation'
17,'2013-05-24 15:36:14',68,10,0,1,?,976129000,976129000,2.37,STS
17,'2013-05-25 13:52:51',81,10,0,0,?,?,?,0.03,'Sportfreunde Stiller'
16,'2013-05-22 18:41:29',?,?,14,0,?,0,0,0.28,'Caravan Palace'
15,'2013-05-05 14:34:06',60,10,0,1,?,?,?,0.85,'Kanye West'
15,'2013-04-11 15:58:46',?,?,0,0,?,?,?,0,'Kanye West'
17,'2013-05-19 12:01:01',81,10,0,0,184549386,?,?,0.2,STS
